n_estimators,max_depth,min_samples_split,min_samples_leaf,bootstrap,train_mse,train_rmse,val_mse,val_rmse,test_mse,test_rmse
100,10,2,1,True,13.193714593357829,3.632315321300978,74.46933502213689,8.629561693512416,28.513647272126764,5.339817157181205
200,10,2,1,True,12.546825140103147,3.5421497907489945,82.56478449514509,9.08651663153406,29.010363870879495,5.3861269824317635
100,10,5,1,True,35.189217244337335,5.932050003526381,79.70359893019065,8.92768721059327,29.202716199005692,5.403953756186825
200,10,5,1,True,34.71523991896935,5.891964012022592,79.77356750595091,8.93160497928289,29.44939948433861,5.426730091347699
100,10,2,2,True,27.472056151513687,5.2413792222576,67.04998162201534,8.188405316178196,28.279633251888395,5.317859837555743
200,10,2,2,True,27.46128810254583,5.240351906365242,66.80713385469289,8.173563106423838,28.990160148846723,5.384251122379669
100,10,5,2,True,35.946195701351336,5.99551463190203,66.88690019983798,8.178441183981088,28.181273986690595,5.308603769984213
200,10,5,2,True,35.639568178708565,5.969888456136226,65.38505527335211,8.086102600966186,28.993669586848615,5.384577010949757
100,20,2,1,True,12.599325090000542,3.5495528014104174,80.22874527584392,8.957050032005176,28.934701904284868,5.379098614478533
200,20,2,1,True,11.630593159993946,3.4103655463885314,82.31900905957028,9.072982368525262,29.060871510815897,5.39081362234087
100,20,5,1,True,34.78641405177878,5.898000852134457,79.22714935696982,8.900963394878659,28.99773180928034,5.384954206795109
200,20,5,1,True,35.038600175493166,5.91934119438077,79.44953513298094,8.91344687160814,29.11394605159259,5.395734060495624
100,20,2,2,True,27.641925737556214,5.257558914321,68.45372171301659,8.273676432700071,28.458722048424438,5.334671690781396
200,20,2,2,True,27.460179267782955,5.24024610755859,68.56890455665874,8.280634308835207,28.952869697931177,5.3807870890726734
100,20,5,2,True,35.179813227841755,5.9312573058198845,69.17365029836823,8.317069814445965,28.703515432788993,5.357566185572418
200,20,5,2,True,34.91654888037377,5.909022667106107,67.53717400530212,8.218100389098574,29.544856875518835,5.435518087130134
100,10,2,1,False,1.9187903326476317,1.3852040761734827,60.959444800225334,7.807652963613671,62.23690837803332,7.8890372275730405
200,10,2,1,False,1.9187903326476314,1.3852040761734825,57.01052463787943,7.550531414270086,62.944598996239556,7.933763230412133
100,10,5,1,False,32.26459290708932,5.680193034315764,43.2794203911355,6.578709629641326,66.03786545899145,8.126368528376709
200,10,5,1,False,32.26459290708933,5.6801930343157645,43.43382554025189,6.590434396931046,66.29481505898147,8.142162799832823
100,10,2,2,False,5.902405339582909,2.4294866411616485,55.50201727928881,7.449967602566391,69.65496749355005,8.345955157652721
200,10,2,2,False,5.902405339582909,2.4294866411616485,52.45153535096165,7.242343222394369,69.48553762840662,8.335798559730593
100,10,5,2,False,32.83863026203949,5.7305000010504745,45.36338693821556,6.735234735197843,72.27711410568114,8.501594797782422
200,10,5,2,False,32.838630262039494,5.730500001050475,45.18409354926407,6.721911450567024,71.40343679806485,8.450055431656342
100,20,2,1,False,0.00034205955334987436,0.018494852076993598,60.09738693514797,7.75225044326794,66.13885983037041,8.132580145954321
200,20,2,1,False,0.00034205955334987436,0.018494852076993598,56.49960461802796,7.516621888722883,66.08957442293512,8.129549460021455
100,20,5,1,False,30.58233912841191,5.530130118578758,45.69088248785565,6.7595031243321175,69.1943315683711,8.318313024187722
200,20,5,1,False,30.58233912841192,5.530130118578759,45.562506135591775,6.750000454488264,69.29956743754259,8.3246361744849
100,20,2,2,False,4.401360442514474,2.0979419540384034,51.694155162050464,7.189864752695315,69.9518569112289,8.363722670631116
200,20,2,2,False,4.401360442514474,2.0979419540384034,52.01823292173123,7.212366665785319,69.64435761267359,8.34531950333081
100,20,5,2,False,31.40022345430108,5.6035902289783,44.32413452223797,6.6576373078020685,72.70630348542105,8.526799134811435
200,20,5,2,False,31.40022345430108,5.6035902289783,44.475179569479614,6.668971402658705,72.31876249990961,8.504043890991486
